Part number,Description,UOM,QTY,Unit Price,Picture,,,,,,,,,,,,,
48-08-0900,M12 10 OZ CONVERSION KIT,EACH,1," 90,015.59 ",Picture,,,,,,,,,,,,,
48-08-0905,20 oz Aluminum Barrel Sausage Conversion Kit,EACH,1," 294,400.30 ",Picture,,,,,,,,,,,,,
48-22-8690,Milwaukee Chain Vise,EACH,1," 1,905,124.46 ",Picture,,,,,,,,,,,,,
48-32-2390,48-32-2390 MILWAUKEE SHOCKWAVE RIGHT ANGLE ADAPTOR,EACH,1," 105,198.01 ",Picture,,,,,,,,,,,,,
48-32-4013,SHOCKWAVE Impact Duty? 50PC Drill & Drive Setÿ,EACH,1," 223,497.61 ",Picture,,,,,,,,,,,,,
48-32-4082,SHOCKWAVE Impact Duty? Driver Bit PACKOUT? Set - 100PC,EACH,1," 365,940.80 ",Picture,,,,,,,,,,,,,
48-32-4360D,48-32-4360D Milwaukee Shockwave 65MM Double Ended Power Bit PH1/PH1 - 10PK,EACH,1," 42,387.48 ",Picture,,,,,,,,,,,,,
48-32-4361PS,48-32-4361PS MILWAUKEE SHOCKWAVE? 65MM DOUBLE ENDED POWER BIT PH2/PH2 - 8PK with Small Compact Packout Case - ASIA,EACH,1," 50,227.17 ",Picture,,,,,,,,,,,,,
48-32-4362D,48-32-4362D Milwaukee Shockwave 65MM Double Ended Power Bit PH3/PH3 - 10PK,EACH,1," 42,387.48 ",Picture,,,,,,,,,,,,,
48-32-4364D,48-32-4364D Milwaukee Shockwave 110MM Double Ended Power Bit PH2/PH2 - 10PK,EACH,1," 53,947.70 ",Picture,,,,,,,,,,,,,
48-32-4511,"48-32-4511 MILWAUKEE SHOCKWAVE? 6"" IMPACT MAGNETIC BIT HOLDER - 1PK ASIA",EACH,1," 37,537.50 ",Picture,,,,,,,,,,,,,
48-32-4512,"48-32-4512 MILWAUKEE SHOCKWAVE? 12"" IMPACT MAGNETIC BIT HOLDER - 1PK ASIA",EACH,1," 52,552.50 ",Picture,,,,,,,,,,,,,
48-32-4550,"48-32-4550 MILWAUKEE SHOCKWAVE? 2"" POWER BIT PHILLIPS #2 (2) & Magnetic Attachment (1) - 3PC",EACH,1," 21,964.42 ",Picture,,,,,,,,,,,,,
48-32-5004,"48-32-5004 MILWAUKEE SHOCKWAVE? 2"" POWER BIT PHILLIPS #2 - 15PK CONTRACTOR PACK ASIA",EACH,1," 36,761.50 ",Picture,,,,,,,,,,,,,
48-32-5033,48-32-5033 MILWAUKEE SHOCKWAVE IMPACT HEX SHANK SOCKET ADAPTOR 3PC SET,EACH,1," 27,744.53 ",Picture,,,,,,,,,,,,,
48-32-5148,48-32-5148 MILWAUKEE SHOCKWAVE IMPACT DRILL AND DRIVE BIT SET 46PC - ASIA,EACH,1," 258,178.27 ",Picture,,,,,,,,,,,,,
48-39-0511,"48-39-0511 MILWAUKEE BANDSAW BLADE 14 TPI 44-7/8"" 3PK",EACH,1," 135,135.00 ",Picture,,,,,,,,,,,,,
48-39-0521,"48-39-0521 MILWAUKEE BANDSAW BLADE 18 TPI 44-7/8"" 3PK",EACH,1," 135,135.00 ",Picture,,,,,,,,,,,,,
48-39-0531,"48-39-0531 MILWAUKEE BANDSAW BLADE 24 TPI 44-7/8"" 3PK",EACH,1," 142,642.50 ",Picture,,,,,,,,,,,,,
48-39-0551,"48-39-0551 MILWAUKEE BANDSAW BLADE 10/14 TPI 44-7/8"" 3PK",EACH,1," 142,642.50 ",Picture,,,,,,,,,,,,,
48-39-0630,"48-39-0630 MILWAUKEE EXTREME THICK METAL BANDSAW BLADES 8/10TPI 30-9/16"" 3PK",EACH,1," 127,162.43 ",Picture,,,,,,,,,,,,,
48-39-0631,"48-39-0631 MILWAUKEE EXTREME THIN METAL BANDSAW BLADES 12/14TPI 30-9/16"" 3PK",EACH,1," 119,455.62 ",Picture,,,,,,,,,,,,,
48-40-4070,"48-40-4070 MILWAUKEE 5-3/8"" 30T FERROUS METAL CIRC SAW BLADE",EACH,1," 337,837.50 ",Picture,,,,,,,,,,,,,
48-40-4075,"48-40-4075 MILWAUKEE 5-3/8"" 50T NON-FERROUS METAL CIRC SAW BLADE",EACH,1," 412,912.50 ",Picture,,,,,,,,,,,,,
48-40-4215,"48-40-4215 MILWAUKEE 5-7/8"" 34T FERROUS METAL CIRC SAW BLADE",EACH,1," 375,375.00 ",Picture,,,,,,,,,,,,,
48-40-4515,"48-40-4515 MILWAUKEE 8"" 42T FERROUS METAL CIRC SAW BLADE",EACH,1," 385,340.71 ",Picture,,,,,,,,,,,,,
48-40-4520,"48-40-4520 MILWAUKEE 8"" 50T FERROUS METAL CIRC SAW BLADE",EACH,1," 446,995.22 ",Picture,,,,,,,,,,,,,
48-44-0412,477 MCM ACSR Replacement Blades,EACH,1," 450,450.00 ",Picture,,,,,,,,,,,,,
48-89-2530,48-89-2530 MILWAUKEE RED HELIX COBALT DRILL BITS 19PC (METRIC),EACH,1," 250,471.46 ",Picture,,,,,,,,,,,,,
48-89-2531,48-89-2531 MILWAUKEE RED HELIX COBALT DRILL BITS 25PC (METRIC),EACH,1," 693,613.27 ",Picture,,,,,,,,,,,,,
48-89-4670,SHOCKWAVE Impact Duty RED HELIX Titanium Drill Bit Set 15PC,EACH,1," 115,602.21 ",Picture,,,,,,,,,,,,,
48-89-4860,48-89-4860 MILWAUKEE SHOCKWAVE RED HELIX TITANIUM DRILL BITS 19PC (METRIC),EACH,1," 184,963.54 ",Picture,,,,,,,,,,,,,
48-89-9265,48-89-9265 MILWAUKEE SHOCKWAVE STEP BIT #4 4-30MM,EACH,1," 500,942.92 ",Picture,,,,,,,,,,,,,
49-00-5310,"49-00-5310 MILWAUKEE WOOD HACKZALL BLADE 10TPI 3-1/2"" 5PK",EACH,1," 52,968.93 ",Picture,,,,,,,,,,,,,
49-00-5414,"49-00-5414 MILWAUKEE PVC HACKZALL BLADE 14TPI 4"" 5PK",EACH,1," 65,708.30 ",Picture,,,,,,,,,,,,,
49-00-5460,"49-00-5460 MILWAUKEE WOOD HACKZALL BLADE 6TPI 4"" 5PK",EACH,1," 56,321.40 ",Picture,,,,,,,,,,,,,
49-00-5461,"49-00-5461 MILWAUKEE PLASTER HACKZALL BLADE 6TPI 4"" 5PK",EACH,1," 72,413.23 ",Picture,,,,,,,,,,,,,
49-10-9112,49-10-9112 MILWAUKEE OPEN-LOK 6PC MULTI-TOOL BLADE KIT,EACH,1," 242,764.65 ",Picture,,,,,,,,,,,,,
49-16-2554J,ÿM12 FUEL Stubby Protective Boot,EACH,1," 110,207.44 ",Picture,,,,,,,,,,,,,
49-16-2562,M12 FUEL Right Angle Impact Wrench Protective Boot,EACH,1," 88,628.36 ",Picture,,,,,,,,,,,,,
49-16-2715,"16"" Chainsaw saw chain",EACH,1," 102,115.29 ",Picture,,,,,,,,,,,,,
49-16-2732 ,6? Saw Chain,EACH,1," 92,481.77 ",Picture,,,,,,,,,,,,,
49-16-2744,14? Top Handle Chainsaw Chain,EACH,1," 113,675.51 ",Picture,,,,,,,,,,,,,
49-16-2750,"8"" Pruning Saw Chain",EACH,1," 94,408.47 ",Picture,,,,,,,,,,,,,
49-16-2757,Brush Cutter Attachment Blade,EACH,1," 146,429.47 ",Picture,,,,,,,,,,,,,
49-16-2773,"ACCESSORY, 477 ACSR CUTTING JAW ASS'Y\MILWAUKEE EMEA",EACH,1," 1,876,875.00 ",Picture,,,,,,,,,,,,,
49-16-3050,M12 Fuel Pass Through Ratchet -  Protective Boot,EACH,1," 24,661.81 ",Picture,,,,,,,,,,,,,
49-22-1110,49-22-1110 MILWAUKEE 10PC GENERAL PURPOSE SAWZALL BLADE SET,EACH,1," 110,631.32 ",Picture,,,,,,,,,,,,,
49-25-1101,49-25-1101 MILWAUKEE OPEN-LOK 35MM HCS WOOD BLADE 1PK,EACH,1," 33,139.30 ",Picture,,,,,,,,,,,,,
49-25-1103,49-25-1103 MILWAUKEE OPEN-LOK 35MM HCS WOOD BLADE 3PK,EACH,1," 64,737.24 ",Picture,,,,,,,,,,,,,
49-25-1113,49-25-1113 MILWAUKEE OPEN-LOK 64MM HCS WOOD BLADE 1PK,EACH,1," 73,214.73 ",Picture,,,,,,,,,,,,,
49-25-1233,49-25-1233 MILWAUKEE OPEN-LOK 35MM TITANIUM CHARGED BI-METAL MULTI-MATERIAL BLADE 3PK,EACH,1," 110,207.44 ",Picture,,,,,,,,,,,,,
49-25-1243,49-25-1243 MILWAUKEE OPEN-LOK 64MM TITANIUM CHARGED BI-METAL MULTI-MATERIAL BLADE 3PK,EACH,1," 127,933.12 ",Picture,,,,,,,,,,,,,
49-25-1253,49-25-1253 MILWAUKEE OPEN-LOK 29MM TITANIUM CHARGED BI-METAL METAL BLADE 3PK,EACH,1," 111,748.81 ",Picture,,,,,,,,,,,,,
49-25-1261,49-25-1261 MILWAUKEE OPEN-LOK 44MM TITANIUM ENHANCED BI-METAL METAL BLADE 1PK,EACH,1," 50,094.29 ",Picture,,,,,,,,,,,,,
49-25-1263,49-25-1263 MILWAUKEE OPEN-LOK 44MM TITANIUM CHARGED BI-METAL METAL BLADE 3PK,EACH,1," 119,455.62 ",Picture,,,,,,,,,,,,,
49-25-1563,49-25-1563 MILWAUKEE OPEN-LOK 35MM NITRUS CARBIDE EXTREME METAL MULTI TOOL BLADE 3PK,EACH,1," 277,445.31 ",Picture,,,,,,,,,,,,,
49-25-2221,49-25-2221 MILWAUKEE OPEN-LOK 3-IN-1 MULTI-CUTTER SCRAPER BLADE 1PK,EACH,1," 47,011.57 ",Picture,,,,,,,,,,,,,
49-25-2241,49-25-2241 MILWAUKEE OPEN-LOK TAPERED SEALANT CUTTING BLADE 5PK,EACH,1," 134,869.25 ",Picture,,,,,,,,,,,,,
49-25-2281,49-25-2281 MILWAUKEE OPEN-LOK 5-IN-1 DRYWALL BLADE 1PK,EACH,1," 80,921.55 ",Picture,,,,,,,,,,,,,
4932492004N,SHOCKWAVE Impact Duty Bit Set x40 Pcs,EACH,1," 154,136.28 ",Picture,,,,,,,,,,,,,
49-57-9001,49-57-9001 MILWAUKEE M2 STEEL SCREW EXTRACTOR SET - 4PC (US),EACH,1," 98,261.88 ",Picture,,,,,,,,,,,,,
49-66-4568,49-66-4568 SHOCKWAVE Impact Duty QUIK-CLEAR 2-in-1 Magnetic Nut Driver Set ? 2PC,EACH,1," 63,581.22 ",Picture,,,,,,,,,,,,,
49-66-6242,49-66-6242 MILWAUKEE SHOCKWAVE 1/2 DR 10MM STD IMPACT SOCKET,EACH,1," 14,797.08 ",Picture,,,,,,,,,,,,,
49-66-6244,49-66-6244 MILWAUKEE SHOCKWAVE 1/2 DR 12MM STD IMPACT SOCKET,EACH,1," 14,797.08 ",Picture,,,,,,,,,,,,,
49-66-6246,49-66-6246 MILWAUKEE SHOCKWAVE 1/2 DR 14MM STD IMPACT SOCKET,EACH,1," 15,413.63 ",Picture,,,,,,,,,,,,,
49-66-6248,49-66-6248 MILWAUKEE SHOCKWAVE 1/2 DR 16MM STD IMPACT SOCKET,EACH,1," 15,413.63 ",Picture,,,,,,,,,,,,,
49-66-6250,49-66-6250 MILWAUKEE SHOCKWAVE 1/2 DR 18MM STD IMPACT SOCKET,EACH,1," 16,030.17 ",Picture,,,,,,,,,,,,,
49-66-6253,49-66-6253 MILWAUKEE SHOCKWAVE 1/2 DR 21MM STD IMPACT SOCKET,EACH,1," 17,879.81 ",Picture,,,,,,,,,,,,,
49-66-6254,49-66-6254 MILWAUKEE SHOCKWAVE 1/2 DR 22MM STD IMPACT SOCKET,EACH,1," 19,112.90 ",Picture,,,,,,,,,,,,,
49-66-6258,49-66-6258 MILWAUKEE SHOCKWAVE 1/2 DR 26MM STD IMPACT SOCKET,EACH,1," 22,195.62 ",Picture,,,,,,,,,,,,,
49-66-6259,49-66-6259 MILWAUKEE SHOCKWAVE 1/2 DR 27MM STD IMPACT SOCKET,EACH,1," 24,045.26 ",Picture,,,,,,,,,,,,,
49-66-6271,49-66-6271 MILWAUKEE SHOCKWAVE 1/2 DR 10MM DEEP IMPACT SOCKET,EACH,1," 22,195.62 ",Picture,,,,,,,,,,,,,
49-66-6273,49-66-6273 MILWAUKEE SHOCKWAVE 1/2 DR 12MM DEEP IMPACT SOCKET,EACH,1," 22,195.62 ",Picture,,,,,,,,,,,,,
49-66-6275,49-66-6275 MILWAUKEE SHOCKWAVE 1/2 DR 14MM DEEP IMPACT SOCKET,EACH,1," 22,195.62 ",Picture,,,,,,,,,,,,,
49-66-6277,49-66-6277 MILWAUKEE SHOCKWAVE 1/2 DR 16MM DEEP IMPACT SOCKET,EACH,1," 22,195.62 ",Picture,,,,,,,,,,,,,
